"Date: 2024-05-18+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","MacBrooks Incomplete✅","Any other useful clamps? [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:05:07+0000","2024-05-18T06:11:39+0000","10995116277760","America/Chicago","false","false",,,"list","43",""
"","MacBrooks Incomplete✅","HDD for xbox one [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:05:52+0000","2024-05-18T06:11:39+0000","11544872091648","America/Chicago","false","false",,,"list","44",""
"","MacBrooks Incomplete✅","Power supply [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:06:32+0000","2024-05-18T06:11:39+0000","12094627905536","America/Chicago","false","false",,,"list","45",""
"","MacBrooks Incomplete✅","Adequate length of data cable [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-12-30T12:06:53+0000","2024-05-18T06:11:39+0000","12644383719424","America/Chicago","false","false",,,"list","46",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:11+0000","1","America/Chicago","false","false",,,"list","47",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:11+0000","549755813888","America/Chicago","false","false",,,"list","48",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:11+0000","1099511627776","America/Chicago","false","false",,,"list","49",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:11+0000","1649267441664","America/Chicago","false","false",,,"list","50",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:12+0000","2199023255552","America/Chicago","false","false",,,"list","51",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:12+0000","2748779069440","America/Chicago","false","false",,,"list","52",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:12+0000","3298534883328","America/Chicago","false","false",,,"list","53",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:12+0000","3848290697216","America/Chicago","false","false",,,"list","54",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:13+0000","4398046511104","America/Chicago","false","false",,,"list","55",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:13+0000","4947802324992","America/Chicago","false","false",,,"list","56",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-28T19:09:42+0000","2024-05-18T06:11:13+0000","5497558138880","America/Chicago","false","false",,,"list","57",""
"","Repeating","Take out the trash [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-28T19:09:42+0000","","6047313952768","America/Chicago","false","false",,,"list","58",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-28T12:30:00+0000","2023-09-28T12:30:00+0000","PT0S","","0","2","2023-09-28T02:56:09+0000","2024-05-18T06:11:14+0000","6597069766656","America/Chicago","false","false",,,"list","59",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","2023-09-29T12:30:00+0000","2023-09-29T12:30:00+0000","PT0S","","0","2","2023-09-28T02:56:09+0000","2024-05-18T06:11:14+0000","7146825580544","America/Chicago","false","false",,,"list","60",""
"","Repeating","Floss [Repeating.md](obsidian://open?vault=Kipp's%20Vault&file=Repeating.md)","TEXT","ticktick","","N","","","","","0","0","2023-09-28T02:56:09+0000","","7696581394432","America/Chicago","false","false",,,"list","61",""
